$English - Magyar
#Az utcán

avenue	sugárút
disease	betegség
dizziness	szédülés
dyslexia	diszlexia
earache	fülfájás
eating disorder	táplálkozási rendellenesség
eczema	ekcéma
epilepsy	epilepszia
fatigue	fáradtság
fever	láz
flu, influenza	influenza
food poisoning	ételmérgezés
fracture	csonttörés
frostbite	fagyás
glandular fever	mirigyláz
gout	köszvény
graze	horzsolás
haemophilia	vérzékenység
hair loss vagy alopecia	hajhullás
hay fever	szénanátha
headache	fejfájás
heart attack	szívroham
heart disease	szívbetegség
heartburn	gyomorégés
heat stroke	napszúrás
hepatitis	hepatitis
hernia	sérv
high blood pressure vagy hypertension	magas vérnyomás
hiv, human immunodeficiency virus	hiv
hypothermia	hipotermia
indigestion	emésztési zavar
infection	fertőzés
inflammation	gyulladás
injury	sérülés
ingrown toenail	benőtt lábköröm
insomnia	álmatlanság
jaundice	sárgaság
leukaemia	leukémia
low blood pressure vagy hypotension	alacsony vérnyomás
lump	daganat
lung cancer	tüdőrák
malaria	malária
measles	kanyaró
meningitis	agyhártyagyulladás
migraine	migrén
miscarriage	vetélés
morning sickness	terhességi rosszullét
mumps	mumpsz
nausea	hányinger
nosebleed	orrvérzés
obesity	elhízás
pneumonia	tüdőgyulladás
polio	gyermekbénulás
rabies	veszettség
rash	kiütés
rheumatism	reuma
schizophrenia	skizofrénia
slipped disc	porckorongsérv
sore throat	torokfájás
splinter	szálka
sprain	ficam
spots	pattanások
stomach ache	gyomorfájás
stress	stressz
stroke	agyvérzés
sunburn	leégés
swelling	duzzadás
tonsillitis	mandulagyulladás
tuberculosis	tuberkulózis
typhoid fever vagy typhoid	tífusz
ulcer	fekély
virus	vírus
wart	szemölcs
antibiotics	antibiotikum
prescription	recept
medicine	orvosság
pill	pirula
tablet	tabletta
doctor	orvos
gp, practitioner	háziorvos
consultant	konzulens
anaesthetist	altatóorvos
surgeon	sebész
nurse	nővér
patient	beteg/páciens
gynecologist	nőgyógyász
chiropodist	lábbetegségekre szakosodott orvos
radiographer	röntgenorvos
anaesthetic	érzéstelenítő
drip	infúzió
hospital	kórház
operating theatre	műtő
operation	operáció
physiotherapy	fizioterápia
surgery	műtő
ward	kórterem
medical insurance	betegségi biztosítás
waiting room	váróterem
blood pressure	vérnyomás
blood sample	vérminta
pulse	pulzus
temperature	hőmérséklet
urine sample	vizeletminta
x-ray	röntgen
blind	vak
deaf	süket
partially sighted	gyengénlátó
disabled	fogyatékkal élő
paralysed	bénült
asthmatic	asztmás
epileptic	epilepsziás
haemophiliac	hemofíliás
injection	injekció
vaccination	oltás
suppository	végbélkúp
pregnancy	terhesség
pregnant	terhes
to give birth	megszülni
contraception	fogamzásgátlás
abortion	abortusz
infected	fertőzött
inflamed	gyulladt
septic	szeptikus
swollen	megduzzadt
unconscious	eszméletlen
pain	fájdalom
painful	fájdalmas
well	jól van
unwell	nem érzi jól magát
ill	beteg
pus	genny
scar	heg
stitches	varrat
wound	seb
bandage	kötszer
crutches	mankó
hearing aid	hallókészülék
sling	felkötés
splint	végtagrögzítő sín
wheelchair	kerekesszék
sleep	alvás
to bleed	vérezni
to catch a cold	megfázni
to cough	köhögni
to be ill	betegnek lenni
to be sick	nincs jól
to feel sick	rosszul érezni magát
to heal	gyógyulni
to hurt	fájni
to limp	bicegni
antiseptic	antiszeptikus anyag
aspirin	aszpirin
athlete's foot powder	lábgomba elleni púder
bandages	kötszerek
cough mixture	köptető
diarrhoea tablets	hasmenés elleni tabletta
eye drops	szemcsepp
first aid kit	elsősegélykészlet
hay fever tablets	szénanátha tabletta
indigestion tablets	tabletta gyomorrontásra
laxatives	hashajtó
lip balm vagy lip salve	szájbalzsam
medicine	orvosság
nicotine patches	nikotintapaszok
painkillers	fájdalomcsillapító
paracetamol	paracetamol
plasters	tapasz
pregnancy testing kit	terhességi teszt
prescription	orvosi recept
sleeping tablets	altató tabletták
thermometer	hőmérő
throat lozenges	torokcukorkák
tissues	zsebkendők
travel sickness tablets	utazási betegség elleni tabletták
vitamin pills	vitamintabletták
baby foods	babaételek
baby wipes	babatörlőkendő
condoms	óvszerek
contact lens solution	kontaktlencse tisztító
disposable nappies	eldobható pelenkák
safety pins	biztosítótű
sun cream	naptej
sun block	napozás elleni krém

#Piperecikkek, Kozmetikum

aftershave	borotválkozás utáni arcszesz
comb	fésű
conditioner	hajkondicionáló
dental floss	fogselyem
deodorant	dezodor
hairbrush	hajkefe
mouthwash	szájvíz
nail file	körömreszelő
nail scissors	körömvágó olló
panty liners	tisztasági betét
perfume	parfüm
razor	borotva
razorblade	borotvapenge
sanitary towels	egészségügyi betét
shaving brush	borotvapamacs
shaving cream	borotvakrém
shaving foam	borotvahab
shaving gel	borotvagél
shampoo	sampon
shower gel	fürdő-gél
soap	szappan
tampons	tampon
toothbrush	fogkefe
toothpaste	fogkrém
tweezers	csipesz
cotton wool	vatta
eyeliner	szemceruza
eyeshadow	szemhélyfesték
face powder	arcpúder
foundation	alapozó
hair colouring, hair dye	hajfesték
hair gel	hajzselé
hair spray	hajlakk
hair wax	hajvax
hand cream	kézkrém
lip gloss	szájfény
lipstick	rúzs
make-up	smink
mascara	szempillafesték
moisturising cream	testápoló krém
nail varnish	körömlakk
nail varnish remover	körömlakklemosó

#Programozás

object reference not set to an instance of an object	az objektumhivatkozás nincs példányosítva.
value cannot be null	az érték nem lehet null.
out of range exception	határértéken kívüli kivétel.
index was outside the bounds of the array	az index kívül esik a tömb határain.
method not implemented	a metódus nincs megvalósítva.
access is denied	a hozzáférés megtagadva.
could not load file or assembly	nem sikerült betölteni a fájlt vagy szerelvényt.
specified argument was out of the range of valid values	a megadott argumentum kívül esik az érvényes értékeken.
the process cannot access the file	a folyamat nem fér hozzá a fájlhoz.
unauthorized access exception	jogosulatlan hozzáférés kivétel.
the system cannot find the file specified	a rendszer nem találja a megadott fájlt.
a circular dependency was detected	körkörös függőséget észleltek.
cannot implicitly convert type	a típus nem konvertálható implicit módon.
an item with the same key has already been added	egy azonos kulcsú elem már hozzá lett adva.
invalid operation exception	érvénytelen művelet kivétel.
sequence contains no elements	a sorozat nem tartalmaz elemeket.
the type or namespace name could not be found	a típus vagy névtér neve nem található.
object does not contain a definition for	az objektum nem tartalmaz definíciót.
invalid cast exception	érvénytelen típuskonverzió kivétel.
file already exists	a fájl már létezik.
divide by zero exception	nullával való osztás kivétel
stack overflow exception	verem túlcsordulás kivétel
heap corruption detected	kupac sérülést észleltek
nullreferenceexception	null hivatkozás kivétel
format exception	formátum kivétel
arithmetic overflow exception	aritmetikai túlcsordulás kivétel
insufficient memory exception	elégtelen memória kivétel
out of memory exception	nincs elég memória kivétel
key not found exception	kulcs nem található kivétel
argument null exception	argumentum null kivétel
timeout expired	időtúllépés történt
task canceled exception	feladat megszakítva kivétel
operation canceled exception	művelet megszakítva kivétel
end of stream exception	a stream vége kivétel
file not found exception	a fájl nem található kivétel
directory not found exception	a könyvtár nem található kivétel
path too long exception	az útvonal túl hosszú kivétel
stack empty exception	üres verem kivétel
invalid data exception	érvénytelen adat kivétel
objectdisposedexception	az objektum már felszabadított kivétel
io exception	i/o művelet kivétel
security exception	biztonsági kivétel
more performant alternative	hatékonyabb alternativa
addition, in addition	kiegészítés, ráadásul
indicates	jelöl, mutat
data bindings	adatkötések
means	eszközök, erőforrások
error	hiba
exception	kivétel
debug	hibakeresés
runtime	futásidő
compile	fordítás
build	összeállítás
deploy	telepítés
test	teszt
failure	kudarc
success	siker
log	napló
output	kimenet
input	bemenet
operation	művelet
process	folyamat
validation	érvényesítés
authentication	hitelesítés
authorization	jogosultság
timeout	időtúllépés
overflow	túlcsordulás
underflow	alulcsordulás
stack	verem
heap	kupac
pointer	mutató
reference	hivatkozás
variable	változó
constant	állandó
parameter	paraméter
argument	argumentum
function	függvény
syntax	szintaxis
null	null (üres hivatkozás)
reference	hivatkozás
dependency	függőség
missing	hiányzó
unexpected	váratlan
invalid	érvénytelen
supported	támogatott
deprecated	elavult
mismatch	eltérés
type	típus
conversion	átalakítás
resolved	megoldott
unresolved	megoldatlan
implementation	megvalósítás
library	könyvtár
package	csomag
framework	keretrendszer
module	modul
project	projekt
summary	összefoglalás
description	leírás
example	példa
method	metódus
property	tulajdonság
remarks	megjegyzések
definition	definíció
usage	használat
return	visszatérés
throw	dobás (kivétel)
overload	túlterhelés
inheritance	öröklődés
polymorphism	polimorfizmus
encapsulation	enkapszuláció
abstraction	absztrakció
scope	hatókör
lifetime	élettartam
context	kontextus
thread	szál
trace	nyomkövetés
breakpoint	töréspont
stacktrace	veremkövetés
watch	figyelés
inspection	ellenőrzés
diagnostics	diagnosztika
assertion	állítás
failure	meghibásodás
reproduce	reprodukál
fix	javítás
asynchronous	aszinkron
synchronous	szinkron
memory	memória
allocation	foglalás
deallocation	felszabadítás
garbage collection	szemétgyűjtés
performance	teljesítmény
optimization	optimalizálás
latency	késleltetés
bandwidth	sávszélesség

#Rendhagyó igék

bring brought brought	hozni
buy bought bought	venni
catch caught caught	elkapni
feel felt felt	érezni
find found found	találni
hear heard heard	hallani
keep kept kept	tartani
leave left left	elhagyni
make made made	készíteni
meet met met	találkozni
pay paid paid	fizetni
sell sold sold	eladni
send sent sent	küldeni
sit sat sat	ülni
sleep slept slept	aludni
spend spent spent	költeni (időt, pénzt)
stand stood stood	állni
teach taught taught	tanítani
tell told told	mondani, mesélni
cut cut cut	vágni
hit hit hit	ütni
let let let	hagyni
put put put	tenni, rakni
read read read	olvasni
set set set	beállítani
shut shut shut	becsukni
think thought thought	gondolni
win won won	nyerni
drink drank drunk	inni
ring rang rung	csörögni, csengeni
sing sang sung	énekelni
sink sank sunk	elsüllyedni
blow blew blown	fújni
grow grew grown	nőni, termeszteni
know knew known	tudni, ismerni
throw threw thrown	dobni
begin began begun	elkezdeni
swim swam swum	úszni
break broke broken	eltörni
speak spoke spoken	beszélni
steal stole stolen	lopni
be was,were been	lenni
come came come	jönni
do did done	csinálni
eat ate eaten	enni
go went gone	menni
have had had	birtokolni
see saw seen	látni
take took taken	venni, vinni

#Ruházat Személyes tárgyak

anorak	anorák
apron	kötény
baseball cap	baseball sapka
belt	öv
bikini	bikini
blazer	blézer
blouse	blúz
boots	csizma
bow tie	csokor nyakkendő
boxer shorts	boxer alsó
bra	melltartó
cardigan	kardigán
coat	kabát
dinner jacket	szmoking
dress	ruha
dressing gown	fürdőköpeny
gloves	kesztyű
hat	sapka
high heels (a következő rövidítése: high-heeled shoes)	magas sarkú cipő
jacket	dzseki
jeans	farmer
jumper	pulóver
knickers	bugyi
leather jacket	bőrdzseki
miniskirt	miniszoknya
nightie (a következő rövidítése: nightdress)	pizsama
overalls	kezeslábas
overcoat	kabát
pullover	pulóver
pyjamas	pizsama
raincoat	esőkabát
sandals	szandál
scarf	sál
shirt	ing
shoelace	cipőfűző
shoes	cipő
pair of shoes	egy pár cipő
shorts	rövidnadrág
skirt	szoknya
slippers	papucs
socks	zokni
stilettos	tűsarkú cipő
stockings	combfix
suit	öltöny
sweater	melegítőfelső
swimming costume	fűrdőruha
swimming trunks	úszónadrág
thong	tanga bugyi
tie	nyakkendő
tights	harisnya
top	felső / top
tracksuit	melegítő
trainers	edzőcipő
trousers	nadrág
pair of trousers	egy nadrág
t-shirt	póló
underpants	alsónadrág
vest	mellény
wellingtons	gumicsizma
bracelet	karkötő
cufflinks	mandzsetta gomb
comb	fésű
earrings	fülbevaló
engagement ring	kísérő gyűrű / jegygyűrű
glasses	szemüveg
handbag	kézitáska
handkerchief	zsebkendő
hair tie vagy hair band	hajgumi/hajpánt
hairbrush	hajkefe
keys	kulcsok
keyring	kulcstartó
lighter	öngyújtó
lipstick	ajakrúzs
makeup	smink
mirror	tükör
necklace	nyaklánc
piercing	piercing (testékszer)
purse	pénztárca
ring	gyűrű
sunglasses	napszemüveg
umbrella	esernyő
walking stick	sétabot
wallet	tárca
watch	óra
wedding ring	jegygyűrű
size	méret
loose	laza
tight	szoros
to wear	hordani
to put on	felvenni
to take off	levenni
to get dressed	felöltözni
to get undressed	levetkőzni
button	gomb
pocket	zseb
zip	cipzár
to tie	megkötni
to untie	kioldozni
to do up	begombol/becsatol
to undo	kigombol/kicsatol

#Segédigék

can	lehet, -hat/-het, tud
could	tudott, -hatott/-hetett, udvarias kérés
may	lehet, -hat/-het, udvarias engedélykérés
might	esetleg, talán, -hatna/-hetne
must	kell, muszáj
shall	fog (jövő idő), ajánlat, javaslat
should	kellene, tanács, javaslat
will	fog (jövő idő)
would	udvarias kérés, feltételes mód (csinálna)
do	segédige kérdésekhez, tagadáshoz és nyomatékosításhoz
does	segédige E/3 személyben (he, she, it)
did	múlt idejű segédige kérdésekhez és tagadáshoz
have	segédige a befejezett igeidőkhöz
has	segédige a befejezett igeidőkhöz E/3 személyben
had	múlt idejű segédige a befejezett múlt
be	létezni, segédige a folyamatos igeidőkhöz
am	létige E/1 személyben
is	létige E/3 személyben
are	létige többes számban és E/2 személyben
was	létige múlt idejű E/1 és E/3 személyben
were	létige múlt idejű többes számban és E/2 személyben

#Shopping

cheap	olcsó
customer	vásárló
discount	leárazás
expensive	drága
price	ár
sale	kiárusítás
shop	üzlet
shopping bag	bevásárlószatyor/-tasak
shopping list	bevásárlólista
special offer	különleges ajánlat
to buy	vásárolni
to sell	eladni
to order	megrendelni
to go shopping	vásárolni menni
aisle	áruházi folyosó a polcok között
basket	kosár
counter	pult
fitting room	öltöző
manager	üzletvezető/menedzser
shelf	polc
shop assistant	eladó
shop window	kirakat
stockroom	raktár
trolley	bevásárlókocsi
cashier	pénztáros
cash	készpénz
change	apró
checkout	fizetés
complaint	panasz
credit card	hitelkártya
in stock	raktáron
out of stock	nincs raktáron
plastic bag vagy carrier bag	műanyag szatyor/tasak
purse	erszény
queue	sor
receipt	nyugta
refund	visszatérítés
till	pénztár
wallet	pénztárca
antique shop	régiségbolt
bakery	pékség
barbers	borbély
beauty salon	szépségszalon
betting shop vagy bookmakers	fogadóiroda
bookshop	könyvesbolt
butchers	hentes
car showroom	autószalon
charity shop	segélyszervezeti bolt
chemists vagy pharmacy	patika
clothes shop	ruhabolt
delicatessen	csemegeüzlet
department store	áruház
diy store	barkácsbolt
dress shop	ruha bolt
dry cleaners	vegytisztító
electrical shop	elektronikai szaküzlet
estate agents	ingatlanügynökség
fishmongers	halkereskedés
florists	virágárus
garden centre	kerti centrum
general store	általános üzlet
gift shop	ajándékbolt
greengrocers	zöldséges
hairdressers	fodrászat
hardware shop	vaskereskedés
kiosk	újságosbódé
launderette	önkiszolgáló mosószalon
newsagents	újságos
off licence, liquor store	italbolt (palackozott italok boltja, korlátolt italkimérési engedély)
second-hand bookshop	antikvárium
second-hand clothes shop	használtruha-bolt
shoe repair shop	cipészet
shoe shop	cipőbolt
sports shop	sportbolt
stationers	papír-írószer bolt
supermarket	szupermarket
tailors	szabók
tattoo parlour vagy tattoo studio	tetoválószalon
toy shop	játékbolt

#Sport, Játék

aerobics	aerobik
american football	amerikai futball
archery	íjászat
athletics	atlétika
badminton	tollaslabda
baseball	baseball
basketball	kosárlabda
beach volleyball	strandröplabda
bowls	tekézés
boxing	boxolás
canoeing	kenuzás
climbing	hegymászás
cricket	krikett
cycling	kerékpározás
darts	célbadobós játék / dart
diving	búvárkodás
fishing	halászás
football	futball / foci
go-karting	gokartozás
golf	golf
gymnastics	torna
handball	kézilabda
hiking	túrázás
hockey	hoki
horse racing	lóverseny
horse riding	lovaglás
hunting	vadászat
ice hockey	jégkorong
ice skating	korcsolyázás
inline skating vagy rollerblading	görkorcsolyázás
jogging	kocogás
judo	cselgáncs
karate	karate
kick boxing	kick-boxolás
lacrosse	lacrosse
martial arts	harcművészetek
motor racing	motorkerékpár versenyzés
mountaineering	hegymászás
netball	kézilabda játék
pool	biliárd szerű játék
rowing	evezés
rugby	rögbi
running	futás
sailing	vitorlázás
scuba diving	búvárkodás
shooting	lövészet
skateboarding	gördeszkázás
skiing	síelés
snooker	biliárd
snowboarding	snowboardozás
squash	fallabda / squash
surfing	szörfözés
swimming	úszás
table tennis	asztali tenisz / ping-pong
ten-pin bowling	bowling / tekézés
tennis	tenisz
volleyball	röplabda
walking	sétálás
water polo	vízilabda
water skiing	vízisíelés
weightlifting	súlyemelés
windsurfing	széllovaglás
wrestling	birkózás
yoga	jóga
booking	sárga vagy piros lap
corner kick vagy corner	szöglet (rúgás)
crossbar vagy bar	keresztrúd
fan	drukker
foul	szabálytalanság
football club	futballkub
free kick	szabadrúgás
goal	gól
goal kick	kirúgás
goalkeeper	kapus
goalpost vagy post	kapu
half-way line	felezővonal
half-time	félidő
header	fejes
linesman	vonalbíró
net	háló
offside	les
pass	passz
player	játékos
penalty	tizenegyes
penalty area	tizenhatos
penalty spot	büntetőpont
red card	piros lap
referee	bíró / játékvezető
shot	rúgás
supporter	támogató
tackle	szerelés
throw-in	bedobás
touchline	oldalvonal
yellow card	sárga lap
world cup	világbajnokság
to kick the ball	labdát rúgni
to head the ball	labdát fejelni
to pass the ball	passzolni
to score a goal	gólt rúgni
to send off	játákból való kiállítás
to book	sárga vagy piros lapot adni
to be sent off	kiállított
to shoot	kapura lőni
to take a penalty	büntetőt rúg
boxing ring	boxring
cricket ground	krikettpálya
football pitch	futballpálya
golf course	golfpálya
gym	edzőterem
ice rink	jégpálya
racetrack	versenypálya
running track	futópálya
squash court	fallabdapálya
swimming pool	úszómedence
tennis court	teniszpálya
stand	lelátó
bell	csengő
bicycle pump	kerékpárpumpa
brake	fék
chain	lánc
gears	fogaskerekek/sebességváltó
handlebars	kormány
inner tube	gumibelső
pedal	pedál
puncture	defekt
puncture repair kit	defektjavító készlet
saddle	nyereg/ülés
spokes	küllők
tyre	abroncs
wheel	kerék
to have a puncture	defeket kap
to ride a bicycle / to ride a bike	kerékpározni/biciklizni
badminton racquet	tollasütő
ball	labda
baseball bat	baseball ütő
cricket bat	krikett ütő
boxing glove	boxkesztyű
fishing rod	horgászbot
football	futball-labda
football boots	futballcipő
golf club	golfütő
hockey stick	hokiütő
ice skates	jégkorcsolya
pool cue	dákó
rugby ball	rögbilabda
running shoes	futócipő
skateboard	gördeszka
skis	síléc
squash racquet	fallabda ütő / squash ütő
tennis racquet	teniszütő
board game	társasjáték
backgammon	backgammon
chess	sakk
dominoes	dominó
draughts	dámajáték
go	go
table football	csocsó
blackjack	huszonegy
bridge	bridzs
poker	póker
card	kártya
pack of cards	pakli kártya
hand	leosztás
trick	trükk
to cut the cards	kártyát emelni
to deal the cards	kártyát osztani
to shuffle the cards	megkeverni a
suit	szín
hearts	kőr
clubs	treff
diamonds	káró
spades	pikk
ace	ász
king	király
queen	dáma
jack	jumbó
joker	dzsóker
your turn!	te jössz!
chessboard	sakktábla
piece	bábu
king	király
queen	királynő
bishop	futó
knight	ló
rook vagy castle	bástya
pawn	paraszt
move	lépés
check	sakk
checkmate	sakk-matt
stalemate	patt
to take vagy to capture	elfogni
to castle	sáncolni
to move	lépni
to resign	lemondani / feladni
your move!	te lépésed!
good move!	ez jó lépés volt!
discus throw	diszkoszvetés
hammer throw	kalapácsvetés
high jump	magasugrás
hurdles	gátfutás
javelin throw	gerelyhajítás
long jump	távolugrás
marathon	maraton
pole vault	rúdugrás
shot put	súlylökés
triple jump	hármasugrás
to play	játszani
to win	nyerni
to lose	veszíteni
to draw	döntetlen játék / döntetlen mérkőzés
to watch	nézni
game	játék
fixture	mérkőzés
match	meccs
competition	verseny
league table	bajnoki tabella
score	eredmény
result	eredmény
winner	nyertes
loser	vesztes
opponent	ellenfél
umpire	bíró
spectator	néző
win	nyereség
loss	veszteség
victory	győzelem
defeat	vereség
draw	döntetlen
to play away	idegenben játszani
to play at home	hazai pályán játszani
olympic games	olimpiai játékok

#Számítógép, Informatika

laptop	laptop
desktop	asztali számítógép
tablet	táblagép
pc (personal computer)	pc (személyi számítógép)
screen	képernyő
keyboard	billentyűzet
mouse	egér
monitor	monitor
printer	nyomtató
wireless router	vezeték nélküli útválasztó
cable	kábel
hard drive	merevlemez
speakers	hangszóró/hangfal
power cable	tápkábel
email	e-mail (elektronikus levél)
to email	e-mailezi
to send an email	küldés
email address	e-mailcím
username	felhasználói név
password	jelszó
to reply	válasz
to forward	továbbítás
new message	új üzenet
attachment	melléklet
to plug in	csatlakoztatni
to unplug	lecsatlakoztatni
to switch on vagy to turn on	bekapcsolni
to switch off vagy to turn off	kikapcsolni
to start up	elindítani
to shut down	leállítani
to restart	újraindítani
the internet	internet
website	weboldal
broadband internet vagy broadband	szélessávú internet/szélessáv
isp (internet service provider)	internet szolgáltató
firewall	tűzfal
web hosting	web hosting / web tárhely
wireless internet vagy wifi	vezeték nélküli internet /wifi
to download	letölteni
to browse the internet	az interneten nézelődni
file	akta
folder	mappa
document	dokumentum
hardware	hardver
software	szoftver
network	hálózat
to scroll up	felgörgetni
to scroll down	legörgetni
to log on	bejelentkezés
to log off	kijelentkezés
space bar	szóközbillentyű
virus	vírus
antivirus software	antivírus szoftver
processor speed	processzorsebesség
memory	memória
word processor	szövegszerkesztő
database	adatbázis
spreadsheet	táblázat
to print	nyomtatás
to type	gépelni
lower case letter	kisbetű
upper case letter vagy capital letter	nagybetű

#Számok

zero	nulla
nil	nul (amikor sporteredményekről beszélnek)
nought	nulla (a 0 szám)
o	nulla ( „o” betűt; különösen telefonszámoknál)
one	egy
two	kettő
three	három
four	négy
five	öt
six	hat
seven	hét
eight	nyolc
nine	kilenc
ten	tíz
eleven	tizenegy
twelve	tizenkettő
thirteen	tizenhárom
fourteen	tizennégy
fifteen	tizenöt
sixteen	tizenhat
seventeen	tizenhét
eighteen	tizennyolc
nineteen	tizenkilenc
twenty	húsz
twenty-one	huszonegy
twenty-two	huszonkettő
twenty-three	huszonhárom
thirty	harminc
forty	negyven
fifty	ötven
sixty	hatvan
seventy	hetven
eighty	nyolcvan
ninety	kilencven
one hundred, a hundred	száz
one hundred and one, a hundred and one	százegy
two hundred	kettőszáz
three hundred	háromszáz
one thousand, a thousand	ezer
two thousand	kétezer
three thousand	háromezer
one million, a million	egy millió, egymillió
one billion, a billion	egy billió, egybillió
once	egyszer
twice	kétszer
three times	háromszor
four times	négyszer
five times	ötször
first	első
second	második
third	harmadik
fourth	negyedik
fifth	ötödik
sixth	hatodik
seventh	hetedik
eighth	nyolcadik
ninth	kilencedik
tenth	tizedik
eleventh	tizenegyedik
twelfth	tizenkettedik
thirteenth	tizenharmadik
fourteenth	tizennegyedik
fifteenth	tizenötödik
sixteenth	tizenhatodik
seventeenth	tizenhetedik
eighteenth	tizennyolcadik
nineteenth	tizenkilencedik
twentieth	huszadik
twenty-first	huszonegyedik
twenty-second	huszonkettedik
twenty-third	huszonharmadik
thirtieth	harmincadik
fortieth	negyvenedik
fiftieth	ötvenedik
sixtieth	havanadik
seventieth	hetvenedik
eightieth	nyolcvanadik
ninetieth	kilencvenedik
hundredth	századik
about, approximately	mintegy, körülbelül
over, more than	több mint
under, less than	kevesebb mint

#Társalgás

hello! / hi!	szia! / üdv!
good morning!	jó reggelt!
good afternoon!	jó napot!
good evening!	jó estét!
good night!	jó éjszakát!
goodbye!	viszontlátásra!
see you later! / see you soon!	később találkozunk! / hamarosan találkozunk!
excuse me! / sorry!	elnézést!
please	kérem
thank you!	köszönöm!
thank you very much!	nagyon szépen köszönöm!
you're welcome!	szívesen!
yes	igen
no	nem
maybe	talán
i don't know!	nem tudom!
alright! / okay!	rendben!
i agree!	egyetértek!
i don't understand!	nem értem!
can you repeat, please?	megismételné, kérem?
do you speak english?	beszél angolul?
i speak only a little italian.	csak egy kicsit beszélek olaszul.
my name is …	a nevem …
i am a tourist.	turista vagyok.
i need help!	segítségre van szükségem!
where is the bathroom?	hol van a mosdó?
how much does it cost?	mennyibe kerül?
can i pay by card?	fizethetek kártyával?
the bill, please!	a számlát, kérem!
where is the train station?	hol van a vasútállomás?
where is the bus stop?	hol van a buszmegálló?
where is the subway?	hol van a metró?
i would like a ticket to …	szeretnék egy jegyet …-ba/-be.
how much is a ticket?	mennyibe kerül egy jegy?
what time does the train leave?	mikor indul a vonat?
what time does the bus arrive?	mikor érkezik a busz?
where is the taxi stand?	hol van a taxiállomás?
can you take me to …?	el tud vinni …-ba/-be?
how much does the ride cost to …?	mennyibe kerül az út …-ig?
can you tell me where to get off?	meg tudja mondani, hol kell leszállnom?
do you have a free table?	van szabad asztaluk?
i would like to book a table for two.	szeretnék foglalni egy asztalt két főre.
the menu, please!	az étlapot, kérem!
what is the house specialty?	mi a ház specialitása?
i would like to order …	szeretnék rendelni …-t.
do you have anything vegetarian?	van valami vegetáriánus étel?
gluten-free, please!	gluténmentesen, kérem!
lactose-free, please!	laktózmentesen, kérem!
a glass of water, please!	egy pohár vizet, kérem!
a coffee, please!	egy kávét, kérem!
the bill, please!	a számlát, kérem!
is the service included?	benne van a szervizdíj?
something is missing from my order!	hiányzik egy fogás!
everything was delicious!	minden nagyon finom volt!
how much does this cost?	mennyibe kerül ez?
can i try it on?	felpróbálhatom?
do you have a bigger/smaller size?	van nagyobb/kisebb méret?
is there a discount?	van valami kedvezmény?
do you accept credit cards?	elfogadnak bankkártyát?
can i get a receipt?	kaphatok nyugtát?
i would like a fiscal receipt.	kérek egy számlát.
can i pay in cash?	fizethetek készpénzzel?
help!	segítség!
call an ambulance!	hívjanak mentőt!
i am lost.	elvesztem.
can you help me?	tud segíteni nekem?
where is the nearest pharmacy?	hol van a legközelebbi gyógyszertár?
is there a doctor nearby?	van itt egy orvos a közelben?
i need a doctor.	orvosra van szükségem.
i don't feel well.	nem érzem jól magam.
my … was stolen.	ellopták a …-mat.
i lost my wallet.	elvesztettem a pénztárcámat.
is there a police station nearby?	van itt a közelben egy rendőrség?
my phone is dead.	le van merülve a telefonom.
where is …?	hol található …?
what are the best places to visit?	melyek a legjobb helyek, amiket érdemes meglátogatni?
how much is the entrance fee?	mennyibe kerül a belépő?
is there a tour guide available?	elérhető idegenvezető?
can i take photos?	készíthetek fényképeket?
what time does the museum close?	mikor zár a múzeum?
what’s the weather like today?	milyen az idő ma?
it’s hot.	meleg van.
it’s cold.	hideg van.
it’s raining.	esik az eső.
it’s sunny.	napos idő van.
it’s cloudy.	felhős az idő.
it’s windy.	fúj a szél.
do you have a free room?	van szabad szobájuk?
i would like to book a room for two nights.	szeretnék foglalni egy szobát két éjszakára.
how much is it per night?	mennyibe kerül egy éjszaka?
is breakfast included?	a reggeli benne van?
what time is check-in/check-out?	mikor van a bejelentkezés/kijelentkezés?
my room is not clean.	a szobám nincs kitakarítva.
could i have another pillow?	kaphatnék egy másik párnát?

#Természet

countryside	vidék
hill	domb
mountain	hegy
valley	völgy
wood	liget
forest	erdő
copse	szigetszerű kis erdő
field	rét
meadow	mező
plain	síkság
moor	ingovány
bog	láp
swamp	mocsár
hedge	sövény
path	ösvény
fence	kerítés
wall	fal
ditch	árok
gate	kapu
farm	farm
bridge	híd
desert	sivatag
glacier	gleccser
jungle	dzsungel
rainforest	esőerdő
volcano	vulkán
stream	patak
river	folyó
canal	csatorna
pond	tavacska
lake	tó
reservoir	víztártoló / vízgyűjtő
waterfall	vízesés
well	forrás
dam	duzzasztógát
power station	erőmű
wind farm	szélfarm
mine	bánya
quarry	külfejtés
agriculture	mezőgazdaság
barn	csűr
farmhouse	farm
crop	termény
harvest	aratás
hay	széna
wheat	búza
irrigation	öntözés
livestock	állatállomány
to plough	szántani
to harvest	aratni
ocean	óceán
sea	tenger
coast vagy shore	partvidék
beach	tengerpart
cliff	szikla
island	sziget
peninsula	félsziget
rock	kő
tide	árapály
wave	hullám
pier	móló
lighthouse	világítótorony
harbour	kikötő
oil rig	olajfúrótorony
country	vidék
city	város / belváros
town	város
village	falu
eruption	kitörés
earthquake	földrengés
tsunami	cunami
avalanche	lavina
