$Italian - Magyar 2
#Számok
zero	nulla
C’è il sole.	Napos idő van.
È nuvoloso.	Felhős az idő.
C’è vento.	Fúj a szél.

Avete una camera libera?	Van szabad szobájuk?
Vorrei prenotare una camera per due notti.	Szeretnék foglalni egy szobát két éjszakára.
Quanto costa a notte?	Mennyibe kerül egy éjszaka?
La colazione è inclusa?	A reggeli benne van?
A che ora è il check-in / check-out?	Mikor van a bejelentkezés/kijelentkezés?
La mia camera non è pulita.	A szobám nincs kitakarítva.
Potrei avere un altro cuscino?	Kaphatnék egy másik párnát?

